id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
383,msg36250165,https://bitcointalk.org/index.php?topic=3248955.0,msg36247766,3369,Announcements (Altcoins),2018-05-04 00:00:12,tophe15,Newbie,280,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   It's clearly one of the strategies of the team to make more people come and use this platform in the future as it offers 0 fees on the transaction done in Eterbank.,False
384,msg36252292,https://bitcointalk.org/index.php?topic=3248955.0,msg36247314,3369,Announcements (Altcoins),2018-05-04 01:10:24,Eterbank,Member,143,10,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"    the wallet user paying for the goods with his cryptocurrency has 0 fees, the profit gained comes from the transaction fee of 1% paid by the business selling the goods to the wallet user.",False
385,msg36254650,https://bitcointalk.org/index.php?topic=3248955.0,msg36252292,3369,Announcements (Altcoins),2018-05-04 02:19:52,nugrama,Full Member,560,100,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"  If it is like that I am sure that many who support it, because this is one of the features that are good for the project and hopefully more projects can be developed.",False
386,msg36256906,https://bitcointalk.org/index.php?topic=3248955.0,,3369,Announcements (Altcoins),2018-05-04 03:19:13,Yaiko08,Member,490,10,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"the concept offered in this project desperately good, hopefully over time this project will gain a lot of support from everyone. success always for this project.",False
387,msg36262398,https://bitcointalk.org/index.php?topic=3248955.0,msg36250165,3369,Announcements (Altcoins),2018-05-04 05:25:46,yuisefb8,Newbie,196,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  Eterbank is more capable to use than other payment system which as what you are saying that Eterbank offers 0 transaction fee which is convenient to all.,False
388,msg36262471,https://bitcointalk.org/index.php?topic=3248955.0,msg36256906,3369,Announcements (Altcoins),2018-05-04 05:27:20,frenkelebre,Jr. Member,392,2,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  Well eterbank really made a platform which everybody will like and new to their sight. The team gives effort and time just to make the project beautiful and useful.,False
389,msg36262569,https://bitcointalk.org/index.php?topic=3248955.0,,3369,Announcements (Altcoins),2018-05-04 05:29:18,lastlove9091,Hero Member,658,500,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"really hope this project succeeds. This is what will make the value of cryptocurrency increase in the future, if groceries retail stores accept crypto we no longer need to bring cash.",False
390,msg35424767,https://bitcointalk.org/index.php?topic=3248955.0,msg35400490,3369,Announcements (Altcoins),2018-04-23 21:39:30,Relentless1020,Newbie,126,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"   The person who handles the payment and finances was a former Vice President of Morgan Stanley. Morgan Stanley is known for great financial services, I think the project has a good team and I hope they can deliver.",False
391,msg35425059,https://bitcointalk.org/index.php?topic=3248955.0,msg35355006,3369,Announcements (Altcoins),2018-04-23 21:46:01,shikon_shard,Jr. Member,128,1,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  Reading the whitepaper can really help a lot for the users and future investors to know more what this project is all about. As the information stated there tackles mostly what it the overall functionalities and plans of this project in the future.,False
392,msg35425474,https://bitcointalk.org/index.php?topic=3248955.0,msg35424767,3369,Announcements (Altcoins),2018-04-23 21:55:25,buldogers,Jr. Member,228,2,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  Who are you referring to be a former Vice President of Morgan Stanley? Mr Photis Georgiades? I'm searching for any article that shows the past working history of him. I can't even see one of it.,False
