id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
75,msg41933383,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 23:04:34,Alexan362,Newbie,238,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"A good and promising ICO company, very good development schedule, attractive prices for tokens, as well as frequent reviews on the latest news in the group. I advise everyone.",False
76,msg41933511,https://bitcointalk.org/index.php?topic=4548871.0,msg41894351,19227,Announcements (Altcoins),2018-07-10 23:08:57,fulcare,Sr. Member,490,250,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"   Good idea from Aleks. Don't ask for KYC and get shut down by any regulator on the globe, very smart.",False
77,msg41933514,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 23:09:07,Aneon10,Newbie,266,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Guys, there is a good option of investing in the crypto currency. This ICO has a great future. If you want to have a chance to get up well or just get carried away by crypt and news about it, then this group is for you.",False
78,msg41933594,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 23:12:08,Nikos125,Newbie,252,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Stable prospective ICO, which I would recommend to everyone. Also, the guys have a group in which very quickly laid out the latest news about both their company and the general situation on the market.",False
79,msg41933656,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 23:13:55,Woster25,Newbie,238,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"I read reviews about the project, read interviews with the organizers, looked at the nearest goals of the company and also on the prices of the tokens, and you know what I'll tell you? And this is a very promising company and if you really want to make a profit, it's your choice.",False
80,msg41935505,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-11 00:30:49,pantsme,Newbie,32,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,Love exchanges and exchange tokens!  Today is the least amount of users and the lowest volume exchanges will ever have.  Adoption will only continue and the user base will only grow.  Get em while they're hot boys!,False
81,msg41940520,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-11 04:08:04,dvphong,Newbie,18,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Great team, i wish i can support project",False
82,msg41804727,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-09 00:20:34,Bahhouja,Newbie,45,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"An interesting project, so ambitious to be in",False
83,msg41804857,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-09 00:27:03,thorRJ,Full Member,714,100,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,Is this date for the sale of tokens really going to be almost 6 months? It starts in July and will be finalized only in December? Will it be finalized sooner if it hits the hard cap?,False
84,msg41805264,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-09 00:47:57,yencsbit,Newbie,5,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,very good project...everyone should take part..,False
85,msg41805802,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-09 01:13:49,desperadolee,Newbie,39,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,good project God bless you,False
86,msg41806281,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-09 01:36:06,bandoing,Newbie,3,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,now more and more exchange is born. Hopefully this project can work .. a unique feature I like that. May I not miss the opportunity to participate in this project.,False
87,msg41810108,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-09 04:00:24,cryptoblood5585,Newbie,42,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,I'm so much in love with this project....  A decentralized exchange with a crypto-fiat market is one of the most interesting feature about CTB. Users who own the CTB tokens are likely to be in the financial positive side due to the fact that some tokens will be burned to keep the currency in scarce supply.,False
