,api,chart,cryptocompare,discontinued,id,name,name_alt,symbol,symbol_alt
304,cryptocompare,False,XBOT,False,XBOT,socialxbotcoin,,xbot,
305,cryptocompare,False,XC,False,XC,x11 coin,,xc,
306,cryptocompare,False,XCSH,False,XCSH,xcash,,xcsh,
307,cryptocompare,False,XCR,False,XCR,crypti,,xcr,
308,cryptocompare,False,XJO,False,XJO,joulecoin,,xjo,
309,cryptocompare,False,XLB,False,XLB,libertycoin,,xlb,
310,cryptocompare,False,XPM,False,XPM,primecoin,,xpm,
311,cryptocompare,False,XST,False,XST,stealthcoin,,xst,
312,cryptocompare,False,XXX,False,XXX,xxxcoin,,xxx,
313,cryptocompare,False,YAC,False,YAC,yaccoin,,yac,
314,cryptocompare,False,ZCC,False,ZCC,zcc coin,,zcc,
315,cryptocompare,False,ZED,False,ZED,zedcoins,,zed,
316,cryptocompare,False,EKN,False,EKN,elektron,,ekn,
317,cryptocompare,False,XDN,False,XDN,digitalnote ,,xdn,
318,cryptocompare,False,XAU,False,XAU,xaucoin,,xau,
319,cryptocompare,False,TMC,False,TMC,timescoin,,tmc,
320,cryptocompare,False,BURST,False,BURST,burstcoin,,burst,
321,cryptocompare,False,NBT,False,NBT,nubits,,nbt,
322,cryptocompare,False,SJCX,False,SJCX,storjcoin,,sjcx,
323,cryptocompare,False,START,False,START,startcoin,,start,
324,cryptocompare,False,HUGE,False,HUGE,bigcoin,,huge,
325,cryptocompare,False,XCP,False,XCP,counterparty,,xcp,
326,cryptocompare,False,007,False,007,007 coin,,007,
327,cryptocompare,False,NSR,False,NSR,nushares,,nsr,
328,cryptocompare,False,CELL,False,CELL,solarfarm,,cell,
329,cryptocompare,False,TEK,False,TEK,tekcoin,,tek,
330,cryptocompare,False,BAY,False,BAY,bitbay,,bay,
331,cryptocompare,False,NTRN,False,NTRN,neutron,,ntrn,
332,cryptocompare,False,SLING,False,SLING,sling coin,,sling,
333,cryptocompare,False,XVC,False,XVC,vcash,,xvc,
334,cryptocompare,False,CRAVE,False,CRAVE,cravecoin,,crave,
335,cryptocompare,False,BLOCK,False,BLOCK,blocknet,,block,
336,cryptocompare,False,XSI,False,XSI,stability shares,,xsi,
337,cryptocompare,False,BYC,False,BYC,bytecent,,byc,
338,cryptocompare,False,GRC,False,GRC,gridcoin,,grc,
339,cryptocompare,False,GEMZ,False,GEMZ,gemz social,,gemz,
340,cryptocompare,False,KTK,False,KTK,kryptcoin,,ktk,
341,cryptocompare,False,HZ,False,HZ,horizon,,hz,
342,cryptocompare,False,FAIR,False,FAIR,faircoin,,fair,
343,cryptocompare,False,QORA,False,QORA,qoracoin,,qora,
344,cryptocompare,False,NLG,False,NLG,gulden,,nlg,
345,cryptocompare,False,RBY,False,RBY,rubycoin,,rby,
346,cryptocompare,False,PTC,False,PTC,pesetacoin,,ptc,
347,cryptocompare,False,KORE,False,KORE,kore,,kore,
348,cryptocompare,False,WBB,False,WBB,wild beast coin,,wbb,
349,cryptocompare,False,SSD,False,SSD,sonic screw driver coin,,ssd,
350,cryptocompare,False,XTC,False,XTC,tilecoin,,xtc,
351,cryptocompare,False,NOTE,False,NOTE,dnotes,,note,
352,cryptocompare,False,FLO,False,FLO,flo,,flo,
353,cryptocompare,False,MMXIV,False,MMXIV,maieuticoin,,mmxiv,
354,cryptocompare,False,8BIT,False,8BIT,8bit coin,,8bit,
355,cryptocompare,False,STV,False,STV,sativa coin,,stv,
356,cryptocompare,False,EBS,False,EBS,ebolashare,,ebs,
357,cryptocompare,False,AM,False,AM,aerome,,am,
358,cryptocompare,False,NKT,False,NKT,nakomotodark,,nkt,
359,cryptocompare,False,GHC,False,GHC,ghostcoin,,ghc,
360,cryptocompare,False,ABY,False,ABY,artbyte,,aby,
361,cryptocompare,False,MTR,False,MTR,mastertradercoin,,mtr,
362,cryptocompare,False,SWARM,False,SWARM,swarmcoin,,swarm,
363,cryptocompare,False,BTCRY,False,BTCRY,bitcrystal,,btcry,
364,cryptocompare,False,BCR,False,BCR,bitcredit,,bcr,
365,cryptocompare,False,XPB,False,XPB,pebble coin,,xpb,
366,cryptocompare,False,XDQ,False,XDQ,dirac coin,,xdq,
367,cryptocompare,False,FLDC,False,FLDC,folding coin,,fldc,
368,cryptocompare,False,SMAC,False,SMAC,social media coin,,smac,
369,cryptocompare,False,U,False,U,ucoin,,u,
370,cryptocompare,False,UIS,False,UIS,unitus,,uis,
371,cryptocompare,False,CYP,False,CYP,cypherpunkcoin,,cyp,
372,cryptocompare,False,NXTTY,False,NXTTY,nxtty,,nxtty,
373,cryptocompare,False,QBK,False,QBK,qubuck coin,,qbk,
374,cryptocompare,False,MARYJ,False,MARYJ,maryjane coin,,maryj,
375,cryptocompare,False,OMC,False,OMC,omnicron,,omc,
376,cryptocompare,False,GIG,False,GIG,gigcoin,,gig,
377,cryptocompare,False,CC,False,CC,cybercoin,,cc,
378,cryptocompare,False,LTBC,False,LTBC,ltbcoin,,ltbc,
379,cryptocompare,False,VTR,False,VTR,vtorrent,,vtr,
380,cryptocompare,False,METAL,False,METAL,metalcoin,,metal,
381,cryptocompare,False,GRE,False,GRE,greencoin,,gre,
382,cryptocompare,False,XG,False,XG,xg sports,,xg,
